header,class,mechanism,group
gene:plasmid:21840,plasmid,plasmid,plasmid
gene:plasmid:82867,plasmid,plasmid,plasmid
gene:proph:177393,prophage,prophage,prophage
gene:plasmid:81335,plasmid,plasmid,plasmid
gene:plasmid:22521,plasmid,plasmid,plasmid
gene:plasmid:155270,plasmid,plasmid,plasmid
gene:plasmid:124844,plasmid,plasmid,plasmid
gene:plasmid:14586,plasmid,plasmid,plasmid
gene:plasmid:14403,plasmid,plasmid,plasmid
gene:vir:2152,virulence,virulence,virulence
gene:vir:109029,virulence,virulence,virulence
gene:vir:106087,virulence,virulence,virulence
gene:plasmid:151268,plasmid,plasmid,plasmid
gene:plasmid:147623,plasmid,plasmid,plasmid
gene:proph:181670,prophage,prophage,prophage
gene:plasmid:154519,plasmid,plasmid,plasmid
gene:plasmid:130357,plasmid,plasmid,plasmid
gene:vir:4566,virulence,virulence,virulence
gene:plasmid:19808,plasmid,plasmid,plasmid
gene:plasmid:133217,plasmid,plasmid,plasmid
gene:plasmid:13301,plasmid,plasmid,plasmid
gene:plasmid:21136,plasmid,plasmid,plasmid
gene:plasmid:124594,plasmid,plasmid,plasmid
gene:plasmid:124782,plasmid,plasmid,plasmid
gene:plasmid:13962,plasmid,plasmid,plasmid
gene:proph:168131,prophage,prophage,prophage
gene:plasmid:154430,plasmid,plasmid,plasmid
gene:plasmid:134400,plasmid,plasmid,plasmid
gene:plasmid:119003,plasmid,plasmid,plasmid
gene:vir:98574,virulence,virulence,virulence
gene:plasmid:153684,plasmid,plasmid,plasmid
gene:vir:103717,virulence,virulence,virulence
gene:plasmid:115456,plasmid,plasmid,plasmid
gene:plasmid:139361,plasmid,plasmid,plasmid
gene:proph:177787,prophage,prophage,prophage
gene:plasmid:135595,plasmid,plasmid,plasmid
gene:plasmid:121924,plasmid,plasmid,plasmid
gene:plasmid:154431,plasmid,plasmid,plasmid
gene:plasmid:22320,plasmid,plasmid,plasmid
gene:plasmid:112239,plasmid,plasmid,plasmid
gene:plasmid:14537,plasmid,plasmid,plasmid
gene:plasmid:155296,plasmid,plasmid,plasmid
gene:plasmid:15975,plasmid,plasmid,plasmid
gene:plasmid:13330,plasmid,plasmid,plasmid
gene:plasmid:21571,plasmid,plasmid,plasmid
gene:plasmid:20778,plasmid,plasmid,plasmid
gene:plasmid:134559,plasmid,plasmid,plasmid
gene:plasmid:22566,plasmid,plasmid,plasmid
gene:plasmid:84372,plasmid,plasmid,plasmid
gene:vir:108575,virulence,virulence,virulence
gene:plasmid:21252,plasmid,plasmid,plasmid
gene:plasmid:14530,plasmid,plasmid,plasmid
gene:vir:107840,virulence,virulence,virulence
gene:plasmid:135600,plasmid,plasmid,plasmid
gene:plasmid:18083,plasmid,plasmid,plasmid
gene:plasmid:146148,plasmid,plasmid,plasmid
gene:plasmid:21691,plasmid,plasmid,plasmid
gene:vir:108013,virulence,virulence,virulence
gene:plasmid:13493,plasmid,plasmid,plasmid
gene:plasmid:152256,plasmid,plasmid,plasmid
gene:vir:78977,virulence,virulence,virulence
gene:vir:99709,virulence,virulence,virulence
gene:proph:170463,prophage,prophage,prophage
gene:vir:99704,virulence,virulence,virulence
gene:plasmid:13837,plasmid,plasmid,plasmid
gene:plasmid:120962,plasmid,plasmid,plasmid
gene:proph:168507,prophage,prophage,prophage
gene:plasmid:28616,plasmid,plasmid,plasmid
gene:plasmid:152686,plasmid,plasmid,plasmid
gene:vir:102137,virulence,virulence,virulence
gene:proph:167301,prophage,prophage,prophage
gene:proph:168181,prophage,prophage,prophage
gene:plasmid:156731,plasmid,plasmid,plasmid
gene:plasmid:138883,plasmid,plasmid,plasmid
gene:plasmid:13564,plasmid,plasmid,plasmid
gene:plasmid:148938,plasmid,plasmid,plasmid
gene:plasmid:91072,plasmid,plasmid,plasmid
gene:vir:1744,virulence,virulence,virulence
gene:plasmid:115776,plasmid,plasmid,plasmid
gene:plasmid:141403,plasmid,plasmid,plasmid
gene:vir:4316,virulence,virulence,virulence
gene:proph:174165,prophage,prophage,prophage
gene:plasmid:133323,plasmid,plasmid,plasmid
gene:vir:101239,virulence,virulence,virulence
gene:plasmid:150016,plasmid,plasmid,plasmid
gene:plasmid:24915,plasmid,plasmid,plasmid
gene:plasmid:147576,plasmid,plasmid,plasmid
gene:plasmid:110282,plasmid,plasmid,plasmid
gene:plasmid:14611,plasmid,plasmid,plasmid
gene:plasmid:130636,plasmid,plasmid,plasmid
gene:plasmid:122169,plasmid,plasmid,plasmid
gene:plasmid:22630,plasmid,plasmid,plasmid
gene:vir:105166,virulence,virulence,virulence
gene:plasmid:25394,plasmid,plasmid,plasmid
gene:plasmid:13234,plasmid,plasmid,plasmid
gene:proph:177330,prophage,prophage,prophage
gene:plasmid:21405,plasmid,plasmid,plasmid
gene:plasmid:129819,plasmid,plasmid,plasmid
gene:vir:108600,virulence,virulence,virulence
gene:plasmid:14514,plasmid,plasmid,plasmid
gene:plasmid:22066,plasmid,plasmid,plasmid
gene:plasmid:85252,plasmid,plasmid,plasmid
gene:plasmid:22581,plasmid,plasmid,plasmid
gene:proph:173552,prophage,prophage,prophage
gene:plasmid:117746,plasmid,plasmid,plasmid
gene:plasmid:123884,plasmid,plasmid,plasmid
gene:proph:177396,prophage,prophage,prophage
gene:plasmid:17493,plasmid,plasmid,plasmid
gene:plasmid:14720,plasmid,plasmid,plasmid
gene:plasmid:157787,plasmid,plasmid,plasmid
gene:plasmid:17035,plasmid,plasmid,plasmid
gene:plasmid:13707,plasmid,plasmid,plasmid
gene:vir:96581,virulence,virulence,virulence
gene:proph:168518,prophage,prophage,prophage
gene:plasmid:82866,plasmid,plasmid,plasmid
gene:plasmid:120634,plasmid,plasmid,plasmid
gene:proph:177357,prophage,prophage,prophage
gene:proph:176833,prophage,prophage,prophage
gene:plasmid:21660,plasmid,plasmid,plasmid
gene:vir:80875,virulence,virulence,virulence
gene:proph:167884,prophage,prophage,prophage
gene:plasmid:21133,plasmid,plasmid,plasmid
gene:vir:95617,virulence,virulence,virulence
gene:vir:94969,virulence,virulence,virulence
gene:vir:102126,virulence,virulence,virulence
gene:proph:159528,prophage,prophage,prophage
gene:proph:160659,prophage,prophage,prophage
gene:plasmid:143216,plasmid,plasmid,plasmid
gene:vir:96957,virulence,virulence,virulence
gene:proph:174884,prophage,prophage,prophage
gene:proph:162915,prophage,prophage,prophage
gene:plasmid:150020,plasmid,plasmid,plasmid
gene:plasmid:151262,plasmid,plasmid,plasmid
gene:plasmid:17293,plasmid,plasmid,plasmid
gene:plasmid:14824,plasmid,plasmid,plasmid
gene:plasmid:21624,plasmid,plasmid,plasmid
gene:plasmid:139250,plasmid,plasmid,plasmid
gene:proph:184719,prophage,prophage,prophage
gene:proph:167867,prophage,prophage,prophage
gene:plasmid:22257,plasmid,plasmid,plasmid
gene:plasmid:21263,plasmid,plasmid,plasmid
gene:vir:102139,virulence,virulence,virulence
gene:plasmid:136471,plasmid,plasmid,plasmid
gene:plasmid:85250,plasmid,plasmid,plasmid
gene:plasmid:22236,plasmid,plasmid,plasmid
gene:plasmid:131372,plasmid,plasmid,plasmid
gene:plasmid:124818,plasmid,plasmid,plasmid
gene:vir:108250,virulence,virulence,virulence
gene:proph:163901,prophage,prophage,prophage
gene:plasmid:145665,plasmid,plasmid,plasmid
gene:plasmid:21721,plasmid,plasmid,plasmid
gene:plasmid:155093,plasmid,plasmid,plasmid
gene:proph:173565,prophage,prophage,prophage
gene:plasmid:153250,plasmid,plasmid,plasmid
gene:plasmid:19280,plasmid,plasmid,plasmid
gene:vir:95719,virulence,virulence,virulence
gene:plasmid:21273,plasmid,plasmid,plasmid
gene:plasmid:134728,plasmid,plasmid,plasmid
gene:plasmid:17279,plasmid,plasmid,plasmid
gene:plasmid:123891,plasmid,plasmid,plasmid
gene:plasmid:17407,plasmid,plasmid,plasmid
gene:plasmid:87380,plasmid,plasmid,plasmid
gene:plasmid:21121,plasmid,plasmid,plasmid
gene:vir:96582,virulence,virulence,virulence
gene:proph:163904,prophage,prophage,prophage
gene:vir:105171,virulence,virulence,virulence
gene:plasmid:152760,plasmid,plasmid,plasmid
gene:plasmid:22384,plasmid,plasmid,plasmid
gene:plasmid:124079,plasmid,plasmid,plasmid
gene:plasmid:145296,plasmid,plasmid,plasmid
gene:plasmid:133216,plasmid,plasmid,plasmid
gene:plasmid:22659,plasmid,plasmid,plasmid
gene:plasmid:22207,plasmid,plasmid,plasmid
gene:plasmid:127430,plasmid,plasmid,plasmid
gene:plasmid:117395,plasmid,plasmid,plasmid
gene:plasmid:145650,plasmid,plasmid,plasmid
gene:plasmid:12782,plasmid,plasmid,plasmid
gene:plasmid:91722,plasmid,plasmid,plasmid
gene:plasmid:17114,plasmid,plasmid,plasmid
gene:plasmid:14599,plasmid,plasmid,plasmid
gene:vir:108422,virulence,virulence,virulence
gene:plasmid:21508,plasmid,plasmid,plasmid
gene:vir:108574,virulence,virulence,virulence
gene:vir:102138,virulence,virulence,virulence
gene:plasmid:136575,plasmid,plasmid,plasmid
gene:vir:78317,virulence,virulence,virulence
gene:plasmid:84664,plasmid,plasmid,plasmid
gene:plasmid:22076,plasmid,plasmid,plasmid
gene:plasmid:21426,plasmid,plasmid,plasmid
gene:plasmid:117575,plasmid,plasmid,plasmid
gene:plasmid:14190,plasmid,plasmid,plasmid
gene:plasmid:130097,plasmid,plasmid,plasmid
gene:plasmid:14013,plasmid,plasmid,plasmid
gene:proph:184713,prophage,prophage,prophage
gene:plasmid:152645,plasmid,plasmid,plasmid
gene:plasmid:90627,plasmid,plasmid,plasmid
gene:plasmid:13961,plasmid,plasmid,plasmid
gene:proph:170400,prophage,prophage,prophage
gene:plasmid:115258,plasmid,plasmid,plasmid
gene:vir:950,virulence,virulence,virulence
gene:plasmid:22522,plasmid,plasmid,plasmid
gene:plasmid:134941,plasmid,plasmid,plasmid
gene:plasmid:21983,plasmid,plasmid,plasmid
gene:plasmid:129815,plasmid,plasmid,plasmid
gene:vir:102303,virulence,virulence,virulence
gene:plasmid:22408,plasmid,plasmid,plasmid
gene:plasmid:21842,plasmid,plasmid,plasmid
gene:plasmid:129816,plasmid,plasmid,plasmid
gene:plasmid:25395,plasmid,plasmid,plasmid
gene:plasmid:136913,plasmid,plasmid,plasmid
gene:plasmid:21706,plasmid,plasmid,plasmid
gene:plasmid:136293,plasmid,plasmid,plasmid
gene:plasmid:131181,plasmid,plasmid,plasmid
gene:vir:105286,virulence,virulence,virulence
gene:plasmid:150005,plasmid,plasmid,plasmid
gene:proph:182135,prophage,prophage,prophage
gene:plasmid:14524,plasmid,plasmid,plasmid
gene:plasmid:138406,plasmid,plasmid,plasmid
gene:vir:98573,virulence,virulence,virulence
gene:vir:93990,virulence,virulence,virulence
gene:plasmid:22112,plasmid,plasmid,plasmid
gene:proph:172133,prophage,prophage,prophage
gene:vir:109038,virulence,virulence,virulence
gene:plasmid:124895,plasmid,plasmid,plasmid
gene:plasmid:132183,plasmid,plasmid,plasmid
gene:vir:101242,virulence,virulence,virulence
gene:plasmid:122924,plasmid,plasmid,plasmid
gene:vir:98407,virulence,virulence,virulence
gene:plasmid:17131,plasmid,plasmid,plasmid
gene:plasmid:150143,plasmid,plasmid,plasmid
gene:vir:105204,virulence,virulence,virulence
gene:plasmid:157784,plasmid,plasmid,plasmid
gene:vir:96156,virulence,virulence,virulence
gene:plasmid:21404,plasmid,plasmid,plasmid
gene:plasmid:21052,plasmid,plasmid,plasmid
gene:plasmid:133396,plasmid,plasmid,plasmid
gene:plasmid:22628,plasmid,plasmid,plasmid
gene:plasmid:21360,plasmid,plasmid,plasmid
gene:vir:95579,virulence,virulence,virulence
gene:vir:108487,virulence,virulence,virulence
gene:plasmid:154137,plasmid,plasmid,plasmid
gene:plasmid:116546,plasmid,plasmid,plasmid
gene:vir:100912,virulence,virulence,virulence
gene:plasmid:13349,plasmid,plasmid,plasmid
gene:plasmid:14012,plasmid,plasmid,plasmid
gene:vir:107060,virulence,virulence,virulence
gene:plasmid:28801,plasmid,plasmid,plasmid
gene:proph:177248,prophage,prophage,prophage
gene:plasmid:120665,plasmid,plasmid,plasmid
gene:proph:177397,prophage,prophage,prophage
gene:plasmid:142115,plasmid,plasmid,plasmid
gene:plasmid:93386,plasmid,plasmid,plasmid
gene:vir:95713,virulence,virulence,virulence
gene:plasmid:145304,plasmid,plasmid,plasmid
gene:plasmid:22648,plasmid,plasmid,plasmid
gene:vir:2149,virulence,virulence,virulence
gene:plasmid:22270,plasmid,plasmid,plasmid
gene:vir:96551,virulence,virulence,virulence
gene:plasmid:13450,plasmid,plasmid,plasmid
gene:plasmid:151395,plasmid,plasmid,plasmid
gene:plasmid:120977,plasmid,plasmid,plasmid
gene:plasmid:110732,plasmid,plasmid,plasmid
gene:vir:99720,virulence,virulence,virulence
gene:vir:98403,virulence,virulence,virulence
gene:plasmid:14024,plasmid,plasmid,plasmid
gene:vir:105177,virulence,virulence,virulence
gene:vir:107998,virulence,virulence,virulence
gene:plasmid:145395,plasmid,plasmid,plasmid
gene:proph:159688,prophage,prophage,prophage
gene:plasmid:18102,plasmid,plasmid,plasmid
gene:proph:163761,prophage,prophage,prophage
gene:plasmid:90629,plasmid,plasmid,plasmid
gene:plasmid:116160,plasmid,plasmid,plasmid
gene:plasmid:22308,plasmid,plasmid,plasmid
gene:vir:101238,virulence,virulence,virulence
gene:proph:172986,prophage,prophage,prophage
gene:plasmid:92160,plasmid,plasmid,plasmid
gene:plasmid:21362,plasmid,plasmid,plasmid
gene:proph:177342,prophage,prophage,prophage
gene:plasmid:120834,plasmid,plasmid,plasmid
gene:vir:94875,virulence,virulence,virulence
gene:plasmid:122432,plasmid,plasmid,plasmid
gene:plasmid:111166,plasmid,plasmid,plasmid
gene:vir:108531,virulence,virulence,virulence
gene:plasmid:151408,plasmid,plasmid,plasmid
gene:vir:105232,virulence,virulence,virulence
gene:plasmid:15402,plasmid,plasmid,plasmid
gene:plasmid:87158,plasmid,plasmid,plasmid
gene:vir:102339,virulence,virulence,virulence
gene:plasmid:13469,plasmid,plasmid,plasmid
gene:vir:102718,virulence,virulence,virulence
gene:plasmid:12868,plasmid,plasmid,plasmid
gene:plasmid:14159,plasmid,plasmid,plasmid
gene:proph:170418,prophage,prophage,prophage
gene:plasmid:14589,plasmid,plasmid,plasmid
gene:plasmid:134726,plasmid,plasmid,plasmid
gene:vir:100909,virulence,virulence,virulence
gene:plasmid:14185,plasmid,plasmid,plasmid
gene:plasmid:142116,plasmid,plasmid,plasmid
gene:plasmid:127498,plasmid,plasmid,plasmid
gene:plasmid:14582,plasmid,plasmid,plasmid
gene:plasmid:22426,plasmid,plasmid,plasmid
gene:plasmid:136580,plasmid,plasmid,plasmid
gene:plasmid:97785,plasmid,plasmid,plasmid
gene:plasmid:130862,plasmid,plasmid,plasmid
gene:plasmid:155276,plasmid,plasmid,plasmid
gene:proph:165226,prophage,prophage,prophage
gene:plasmid:97808,plasmid,plasmid,plasmid
gene:plasmid:21296,plasmid,plasmid,plasmid
gene:vir:94865,virulence,virulence,virulence
gene:plasmid:19988,plasmid,plasmid,plasmid
gene:proph:180235,prophage,prophage,prophage
gene:plasmid:21670,plasmid,plasmid,plasmid
gene:plasmid:14759,plasmid,plasmid,plasmid
gene:vir:108635,virulence,virulence,virulence
gene:plasmid:124900,plasmid,plasmid,plasmid
gene:vir:103700,virulence,virulence,virulence
gene:plasmid:110240,plasmid,plasmid,plasmid
gene:plasmid:91731,plasmid,plasmid,plasmid
gene:plasmid:147611,plasmid,plasmid,plasmid
gene:proph:164964,prophage,prophage,prophage
gene:plasmid:130007,plasmid,plasmid,plasmid
gene:proph:169106,prophage,prophage,prophage
gene:vir:1734,virulence,virulence,virulence
gene:plasmid:15305,plasmid,plasmid,plasmid
gene:vir:108253,virulence,virulence,virulence
gene:plasmid:152766,plasmid,plasmid,plasmid
gene:plasmid:28723,plasmid,plasmid,plasmid
gene:plasmid:111023,plasmid,plasmid,plasmid
gene:plasmid:117290,plasmid,plasmid,plasmid
gene:plasmid:147545,plasmid,plasmid,plasmid
gene:plasmid:135691,plasmid,plasmid,plasmid
gene:proph:177784,prophage,prophage,prophage
gene:plasmid:129840,plasmid,plasmid,plasmid
gene:plasmid:109146,plasmid,plasmid,plasmid
gene:plasmid:19803,plasmid,plasmid,plasmid
gene:plasmid:87095,plasmid,plasmid,plasmid
gene:proph:168524,prophage,prophage,prophage
gene:proph:181669,prophage,prophage,prophage
gene:vir:108617,virulence,virulence,virulence
gene:plasmid:124876,plasmid,plasmid,plasmid
gene:plasmid:22281,plasmid,plasmid,plasmid
gene:plasmid:136559,plasmid,plasmid,plasmid
gene:plasmid:117679,plasmid,plasmid,plasmid
gene:vir:108620,virulence,virulence,virulence
gene:plasmid:21689,plasmid,plasmid,plasmid
gene:proph:177368,prophage,prophage,prophage
gene:plasmid:154522,plasmid,plasmid,plasmid
gene:plasmid:21359,plasmid,plasmid,plasmid
gene:proph:167191,prophage,prophage,prophage
gene:plasmid:13682,plasmid,plasmid,plasmid
gene:proph:179099,prophage,prophage,prophage
gene:plasmid:124864,plasmid,plasmid,plasmid
gene:plasmid:154133,plasmid,plasmid,plasmid
gene:vir:102131,virulence,virulence,virulence
gene:plasmid:19294,plasmid,plasmid,plasmid
gene:vir:100353,virulence,virulence,virulence
gene:proph:177298,prophage,prophage,prophage
gene:proph:170389,prophage,prophage,prophage
gene:proph:165179,prophage,prophage,prophage
gene:plasmid:126195,plasmid,plasmid,plasmid
gene:plasmid:19880,plasmid,plasmid,plasmid
gene:plasmid:151089,plasmid,plasmid,plasmid
gene:vir:99896,virulence,virulence,virulence
gene:proph:167868,prophage,prophage,prophage
gene:proph:170890,prophage,prophage,prophage
gene:plasmid:147612,plasmid,plasmid,plasmid
gene:plasmid:88437,plasmid,plasmid,plasmid
gene:plasmid:127462,plasmid,plasmid,plasmid
gene:plasmid:135663,plasmid,plasmid,plasmid
gene:proph:170891,prophage,prophage,prophage
gene:vir:108492,virulence,virulence,virulence
gene:plasmid:136842,plasmid,plasmid,plasmid
gene:plasmid:90630,plasmid,plasmid,plasmid
gene:vir:102151,virulence,virulence,virulence
gene:plasmid:131951,plasmid,plasmid,plasmid
gene:vir:105237,virulence,virulence,virulence
gene:plasmid:21844,plasmid,plasmid,plasmid
gene:plasmid:83027,plasmid,plasmid,plasmid
gene:plasmid:125190,plasmid,plasmid,plasmid
gene:plasmid:112079,plasmid,plasmid,plasmid
gene:plasmid:17280,plasmid,plasmid,plasmid
gene:plasmid:127512,plasmid,plasmid,plasmid
gene:plasmid:136292,plasmid,plasmid,plasmid
gene:plasmid:87096,plasmid,plasmid,plasmid
gene:plasmid:23962,plasmid,plasmid,plasmid
gene:plasmid:21323,plasmid,plasmid,plasmid
gene:plasmid:156730,plasmid,plasmid,plasmid
gene:plasmid:115642,plasmid,plasmid,plasmid
gene:plasmid:139243,plasmid,plasmid,plasmid
gene:plasmid:13337,plasmid,plasmid,plasmid
gene:plasmid:14014,plasmid,plasmid,plasmid
gene:plasmid:14631,plasmid,plasmid,plasmid
gene:proph:177711,prophage,prophage,prophage
gene:proph:177792,prophage,prophage,prophage
gene:plasmid:135599,plasmid,plasmid,plasmid
gene:vir:102141,virulence,virulence,virulence
gene:vir:95553,virulence,virulence,virulence
gene:plasmid:15661,plasmid,plasmid,plasmid
gene:plasmid:120672,plasmid,plasmid,plasmid
gene:plasmid:13434,plasmid,plasmid,plasmid
gene:plasmid:124863,plasmid,plasmid,plasmid
gene:plasmid:152759,plasmid,plasmid,plasmid
gene:plasmid:22523,plasmid,plasmid,plasmid
gene:plasmid:123231,plasmid,plasmid,plasmid
gene:proph:159651,prophage,prophage,prophage
gene:plasmid:150081,plasmid,plasmid,plasmid
gene:proph:177813,prophage,prophage,prophage
gene:plasmid:13472,plasmid,plasmid,plasmid
gene:plasmid:12995,plasmid,plasmid,plasmid
gene:proph:160615,prophage,prophage,prophage
gene:proph:165105,prophage,prophage,prophage
gene:plasmid:129993,plasmid,plasmid,plasmid
gene:plasmid:84383,plasmid,plasmid,plasmid
gene:plasmid:135603,plasmid,plasmid,plasmid
gene:plasmid:136778,plasmid,plasmid,plasmid
gene:vir:99892,virulence,virulence,virulence
gene:plasmid:13925,plasmid,plasmid,plasmid
gene:vir:109041,virulence,virulence,virulence
gene:proph:177775,prophage,prophage,prophage
gene:plasmid:13344,plasmid,plasmid,plasmid
gene:plasmid:122707,plasmid,plasmid,plasmid
gene:proph:175648,prophage,prophage,prophage
gene:vir:108621,virulence,virulence,virulence
gene:plasmid:13388,plasmid,plasmid,plasmid
gene:vir:80799,virulence,virulence,virulence
gene:vir:105098,virulence,virulence,virulence
gene:plasmid:152794,plasmid,plasmid,plasmid
gene:plasmid:19810,plasmid,plasmid,plasmid
gene:proph:163207,prophage,prophage,prophage
gene:plasmid:136291,plasmid,plasmid,plasmid
gene:vir:100201,virulence,virulence,virulence
gene:plasmid:115647,plasmid,plasmid,plasmid
gene:plasmid:13708,plasmid,plasmid,plasmid
gene:plasmid:22382,plasmid,plasmid,plasmid
gene:vir:1424,virulence,virulence,virulence
gene:proph:177753,prophage,prophage,prophage
gene:plasmid:17135,plasmid,plasmid,plasmid
gene:plasmid:123498,plasmid,plasmid,plasmid
gene:vir:108639,virulence,virulence,virulence
gene:plasmid:21701,plasmid,plasmid,plasmid
gene:proph:169989,prophage,prophage,prophage
gene:plasmid:14003,plasmid,plasmid,plasmid
gene:proph:177365,prophage,prophage,prophage
gene:plasmid:21301,plasmid,plasmid,plasmid
gene:plasmid:152727,plasmid,plasmid,plasmid
gene:proph:180701,prophage,prophage,prophage
gene:vir:103702,virulence,virulence,virulence
gene:plasmid:90633,plasmid,plasmid,plasmid
gene:plasmid:136795,plasmid,plasmid,plasmid
gene:plasmid:134955,plasmid,plasmid,plasmid
gene:vir:103344,virulence,virulence,virulence
gene:plasmid:150167,plasmid,plasmid,plasmid
gene:plasmid:17404,plasmid,plasmid,plasmid
gene:plasmid:145636,plasmid,plasmid,plasmid
gene:plasmid:22629,plasmid,plasmid,plasmid
gene:proph:168488,prophage,prophage,prophage
gene:proph:168506,prophage,prophage,prophage
gene:plasmid:22202,plasmid,plasmid,plasmid
gene:plasmid:84408,plasmid,plasmid,plasmid
gene:plasmid:90632,plasmid,plasmid,plasmid
gene:proph:177340,prophage,prophage,prophage
gene:plasmid:142165,plasmid,plasmid,plasmid
gene:plasmid:21030,plasmid,plasmid,plasmid
gene:proph:173120,prophage,prophage,prophage
gene:plasmid:22175,plasmid,plasmid,plasmid
gene:plasmid:21027,plasmid,plasmid,plasmid
gene:plasmid:14724,plasmid,plasmid,plasmid
gene:vir:101597,virulence,virulence,virulence
gene:plasmid:17238,plasmid,plasmid,plasmid
gene:plasmid:127068,plasmid,plasmid,plasmid
gene:plasmid:13515,plasmid,plasmid,plasmid
gene:plasmid:135615,plasmid,plasmid,plasmid
gene:plasmid:134439,plasmid,plasmid,plasmid
gene:vir:98408,virulence,virulence,virulence
gene:plasmid:21406,plasmid,plasmid,plasmid
gene:plasmid:91010,plasmid,plasmid,plasmid
gene:plasmid:22425,plasmid,plasmid,plasmid
gene:plasmid:13483,plasmid,plasmid,plasmid
gene:vir:100658,virulence,virulence,virulence
gene:vir:99711,virulence,virulence,virulence
gene:vir:98572,virulence,virulence,virulence
gene:plasmid:142164,plasmid,plasmid,plasmid
gene:plasmid:147544,plasmid,plasmid,plasmid
gene:vir:102286,virulence,virulence,virulence
gene:plasmid:14831,plasmid,plasmid,plasmid
gene:vir:99325,virulence,virulence,virulence
gene:vir:108421,virulence,virulence,virulence
gene:plasmid:21705,plasmid,plasmid,plasmid
gene:plasmid:22072,plasmid,plasmid,plasmid
gene:vir:101241,virulence,virulence,virulence
gene:plasmid:152755,plasmid,plasmid,plasmid
gene:proph:165611,prophage,prophage,prophage
gene:plasmid:26090,plasmid,plasmid,plasmid
gene:plasmid:131182,plasmid,plasmid,plasmid
gene:vir:105457,virulence,virulence,virulence
gene:plasmid:135679,plasmid,plasmid,plasmid
gene:plasmid:142120,plasmid,plasmid,plasmid
gene:plasmid:22215,plasmid,plasmid,plasmid
gene:plasmid:21493,plasmid,plasmid,plasmid
gene:plasmid:119035,plasmid,plasmid,plasmid
gene:plasmid:142139,plasmid,plasmid,plasmid
gene:proph:167267,prophage,prophage,prophage
gene:plasmid:21021,plasmid,plasmid,plasmid
gene:plasmid:22188,plasmid,plasmid,plasmid
gene:plasmid:122499,plasmid,plasmid,plasmid
gene:vir:105133,virulence,virulence,virulence
gene:vir:99894,virulence,virulence,virulence
gene:plasmid:22122,plasmid,plasmid,plasmid
gene:plasmid:142144,plasmid,plasmid,plasmid
gene:plasmid:116159,plasmid,plasmid,plasmid
gene:plasmid:21265,plasmid,plasmid,plasmid
gene:plasmid:17290,plasmid,plasmid,plasmid
gene:proph:177341,prophage,prophage,prophage
gene:plasmid:149572,plasmid,plasmid,plasmid
gene:plasmid:21569,plasmid,plasmid,plasmid
gene:plasmid:142141,plasmid,plasmid,plasmid
gene:plasmid:13320,plasmid,plasmid,plasmid
gene:plasmid:145623,plasmid,plasmid,plasmid
gene:proph:165144,prophage,prophage,prophage
gene:vir:108454,virulence,virulence,virulence
gene:plasmid:24913,plasmid,plasmid,plasmid
gene:plasmid:135644,plasmid,plasmid,plasmid
gene:plasmid:13504,plasmid,plasmid,plasmid
gene:plasmid:148945,plasmid,plasmid,plasmid
gene:plasmid:14016,plasmid,plasmid,plasmid
gene:plasmid:110275,plasmid,plasmid,plasmid
gene:vir:79318,virulence,virulence,virulence
gene:vir:107896,virulence,virulence,virulence
gene:plasmid:151640,plasmid,plasmid,plasmid
gene:plasmid:14633,plasmid,plasmid,plasmid
gene:plasmid:21612,plasmid,plasmid,plasmid
gene:proph:177338,prophage,prophage,prophage
gene:vir:93715,virulence,virulence,virulence
gene:plasmid:22416,plasmid,plasmid,plasmid
gene:plasmid:85251,plasmid,plasmid,plasmid
gene:plasmid:110276,plasmid,plasmid,plasmid
gene:proph:177712,prophage,prophage,prophage
gene:plasmid:14721,plasmid,plasmid,plasmid
gene:plasmid:17094,plasmid,plasmid,plasmid
gene:plasmid:121738,plasmid,plasmid,plasmid
gene:plasmid:17165,plasmid,plasmid,plasmid
gene:proph:163243,prophage,prophage,prophage
gene:vir:108707,virulence,virulence,virulence
gene:plasmid:15301,plasmid,plasmid,plasmid
gene:plasmid:22530,plasmid,plasmid,plasmid
gene:plasmid:139638,plasmid,plasmid,plasmid
gene:vir:100910,virulence,virulence,virulence
gene:plasmid:13567,plasmid,plasmid,plasmid
gene:plasmid:136783,plasmid,plasmid,plasmid
gene:plasmid:145642,plasmid,plasmid,plasmid
gene:plasmid:17118,plasmid,plasmid,plasmid
gene:plasmid:110291,plasmid,plasmid,plasmid
gene:plasmid:111776,plasmid,plasmid,plasmid
gene:vir:109040,virulence,virulence,virulence
gene:plasmid:135697,plasmid,plasmid,plasmid
gene:plasmid:124043,plasmid,plasmid,plasmid
gene:vir:99705,virulence,virulence,virulence
gene:plasmid:124764,plasmid,plasmid,plasmid
gene:plasmid:122014,plasmid,plasmid,plasmid
gene:plasmid:22213,plasmid,plasmid,plasmid
gene:plasmid:21051,plasmid,plasmid,plasmid
gene:plasmid:85255,plasmid,plasmid,plasmid
gene:vir:104785,virulence,virulence,virulence
gene:plasmid:145396,plasmid,plasmid,plasmid
gene:plasmid:21357,plasmid,plasmid,plasmid
gene:vir:106089,virulence,virulence,virulence
gene:vir:108436,virulence,virulence,virulence
gene:plasmid:124062,plasmid,plasmid,plasmid
gene:plasmid:157770,plasmid,plasmid,plasmid
gene:plasmid:14165,plasmid,plasmid,plasmid
gene:plasmid:21407,plasmid,plasmid,plasmid
gene:plasmid:15660,plasmid,plasmid,plasmid
